"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"04.01.2018 06:15 - 04.01.2018 06:30","63951","67838"
"04.01.2018 06:30 - 04.01.2018 06:45","65720","69862"
"04.01.2018 06:45 - 04.01.2018 07:00","67215","71679"
"04.01.2018 07:00 - 04.01.2018 07:15","69334","73614"
"04.01.2018 07:15 - 04.01.2018 07:30","70136","74760"
"04.01.2018 07:30 - 04.01.2018 07:45","70475","75859"
"04.01.2018 07:45 - 04.01.2018 08:00","71803","76899"
"04.01.2018 08:00 - 04.01.2018 08:15","72773","78580"
"04.01.2018 08:15 - 04.01.2018 08:30","73193","78651"
"04.01.2018 08:30 - 04.01.2018 08:45","73590","78776"
"04.01.2018 08:45 - 04.01.2018 09:00","73570","79164"
"04.01.2018 09:00 - 04.01.2018 09:15","74126","78972"
"04.01.2018 09:15 - 04.01.2018 09:30","74473","79411"
"04.01.2018 09:30 - 04.01.2018 09:45","74822","79685"
"04.01.2018 09:45 - 04.01.2018 10:00","74899","79862"
"04.01.2018 10:00 - 04.01.2018 10:15","74947","80123"
"04.01.2018 10:15 - 04.01.2018 10:30","75498","80443"
"04.01.2018 10:30 - 04.01.2018 10:45","75581","81021"
"04.01.2018 10:45 - 04.01.2018 11:00","75659","81365"
"04.01.2018 11:00 - 04.01.2018 11:15","76255","81501"
"04.01.2018 11:15 - 04.01.2018 11:30","76453","82046"
"04.01.2018 11:30 - 04.01.2018 11:45","76816","82092"
"04.01.2018 11:45 - 04.01.2018 12:00","76888","82018"
"04.01.2018 12:00 - 04.01.2018 12:15","76636","81870"
"04.01.2018 12:15 - 04.01.2018 12:30","76590","81564"
"04.01.2018 12:30 - 04.01.2018 12:45","76406","81218"
"04.01.2018 12:45 - 04.01.2018 13:00","76373","81162"
"04.01.2018 13:00 - 04.01.2018 13:15","76527","80957"
"04.01.2018 13:15 - 04.01.2018 13:30","75992","80616"
"04.01.2018 13:30 - 04.01.2018 13:45","75590","80207"
"04.01.2018 13:45 - 04.01.2018 14:00","74765","79393"
"04.01.2018 14:00 - 04.01.2018 14:15","74691","79112"
"04.01.2018 14:15 - 04.01.2018 14:30","74275","78886"
"04.01.2018 14:30 - 04.01.2018 14:45","74439","78642"
"04.01.2018 14:45 - 04.01.2018 15:00","74619","78210"
"04.01.2018 15:00 - 04.01.2018 15:15","74915","78582"
"04.01.2018 15:15 - 04.01.2018 15:30","74039","78382"
"04.01.2018 15:30 - 04.01.2018 15:45","74053","78377"
"04.01.2018 15:45 - 04.01.2018 16:00","74001","78417"
"04.01.2018 16:00 - 04.01.2018 16:15","74348","79087"
"04.01.2018 16:15 - 04.01.2018 16:30","74876","79364"
"04.01.2018 16:30 - 04.01.2018 16:45","75644","80015"
"04.01.2018 16:45 - 04.01.2018 17:00","76088","80911"
"04.01.2018 17:00 - 04.01.2018 17:15","77141","81457"
"04.01.2018 17:15 - 04.01.2018 17:30","77450","81513"
"04.01.2018 17:30 - 04.01.2018 17:45","78009","82033"
"04.01.2018 17:45 - 04.01.2018 18:00","77985","82259"
"04.01.2018 18:00 - 04.01.2018 18:15","77397","81609"
"04.01.2018 18:15 - 04.01.2018 18:30","77469","81139"
"04.01.2018 18:30 - 04.01.2018 18:45","77044","81079"
"04.01.2018 18:45 - 04.01.2018 19:00","76843","80607"
"04.01.2018 19:00 - 04.01.2018 19:15","76376","80065"
"04.01.2018 19:15 - 04.01.2018 19:30","75658","78871"
"04.01.2018 19:30 - 04.01.2018 19:45","75023","78233"
"04.01.2018 19:45 - 04.01.2018 20:00","74347","77702"
"04.01.2018 20:00 - 04.01.2018 20:15","72762","76818"
"04.01.2018 20:15 - 04.01.2018 20:30","71048","75273"
"04.01.2018 20:30 - 04.01.2018 20:45","70250","74513"
"04.01.2018 20:45 - 04.01.2018 21:00","69415","73344"
"04.01.2018 21:00 - 04.01.2018 21:15","68342","72974"
"04.01.2018 21:15 - 04.01.2018 21:30","67625","72072"
"04.01.2018 21:30 - 04.01.2018 21:45","67344","71043"
"04.01.2018 21:45 - 04.01.2018 22:00","66356","70595"
"04.01.2018 22:00 - 04.01.2018 22:15","66696","70873"
"04.01.2018 22:15 - 04.01.2018 22:30","65766","69960"
"04.01.2018 22:30 - 04.01.2018 22:45","64605","68960"
"04.01.2018 22:45 - 04.01.2018 23:00","63422","67742"
"04.01.2018 23:00 - 04.01.2018 23:15","62143","66714"
"04.01.2018 23:15 - 04.01.2018 23:30","60927","65370"
"04.01.2018 23:30 - 04.01.2018 23:45","59822","64304"
"04.01.2018 23:45 - 05.01.2018 00:00","58885","63350"
"05.01.2018 00:00 - 05.01.2018 00:15","59362","61811"
"05.01.2018 00:15 - 05.01.2018 00:30","58378","61085"
"05.01.2018 00:30 - 05.01.2018 00:45","57758","60445"
"05.01.2018 00:45 - 05.01.2018 01:00","56956","59820"
"05.01.2018 01:00 - 05.01.2018 01:15","56277","58958"
"05.01.2018 01:15 - 05.01.2018 01:30","55636","58408"
"05.01.2018 01:30 - 05.01.2018 01:45","55463","57994"
"05.01.2018 01:45 - 05.01.2018 02:00","55100","57694"
"05.01.2018 02:00 - 05.01.2018 02:15","54776","57717"
"05.01.2018 02:15 - 05.01.2018 02:30","54506","57603"
"05.01.2018 02:30 - 05.01.2018 02:45","54465","57644"
"05.01.2018 02:45 - 05.01.2018 03:00","54425","57691"
"05.01.2018 03:00 - 05.01.2018 03:15","54441","57744"
"05.01.2018 03:15 - 05.01.2018 03:30","54315","57719"
"05.01.2018 03:30 - 05.01.2018 03:45","54352","57452"
"05.01.2018 03:45 - 05.01.2018 04:00","54470","57970"
"05.01.2018 04:00 - 05.01.2018 04:15","54914","58217"
"05.01.2018 04:15 - 05.01.2018 04:30","55202","58476"
"05.01.2018 04:30 - 05.01.2018 04:45","55642","58973"
"05.01.2018 04:45 - 05.01.2018 05:00","56115","59476"
"05.01.2018 05:00 - 05.01.2018 05:15","57074","60436"
"05.01.2018 05:15 - 05.01.2018 05:30","57650","60975"
"05.01.2018 05:30 - 05.01.2018 05:45","58711","61791"
"05.01.2018 05:45 - 05.01.2018 06:00","59866","63268"
"05.01.2018 06:00 - 05.01.2018 06:15","61569","65505"
"05.01.2018 06:15 - 05.01.2018 06:30","63632","67131"
"05.01.2018 06:30 - 05.01.2018 06:45","65062","69382"
"05.01.2018 06:45 - 05.01.2018 07:00","66697","71359"
"05.01.2018 07:00 - 05.01.2018 07:15","68626","73356"
"05.01.2018 07:15 - 05.01.2018 07:30","69825","74759"
"05.01.2018 07:30 - 05.01.2018 07:45","71640","76002"
"05.01.2018 07:45 - 05.01.2018 08:00","72673","77043"
"05.01.2018 08:00 - 05.01.2018 08:15","73812","78243"
"05.01.2018 08:15 - 05.01.2018 08:30","74052","78503"
"05.01.2018 08:30 - 05.01.2018 08:45","74304","78993"
"05.01.2018 08:45 - 05.01.2018 09:00","74529","79189"
"05.01.2018 09:00 - 05.01.2018 09:15","74827","79571"
"05.01.2018 09:15 - 05.01.2018 09:30","75358","79578"
"05.01.2018 09:30 - 05.01.2018 09:45","75299","79961"
"05.01.2018 09:45 - 05.01.2018 10:00","75808","80174"
